Wavelength (nm)	Abs. Coeff.
808	0.006326184
809	0.010569437
810	0.016218547
811	0.018886221
812	0.031483492
813	0.042729473
814	0.10117402
815	0.102268973
816	0.146713367
817	0.135551151
818	0.141496239
819	0.082931278
820	0.11036669
821	0.029312226
822	0.045946612
823	0.344129358
824	0.062055165
825	0.04477299
826	0.068141487
827	0.038591356
828	0.119933387
829	0.064713574
830	0.068822691
831	0.063697816
832	0.082276975
833	0.031317975
834	0.050513515
835	0.014426955
836	0.036088044
837	0.013355145
838	0.020260431
839	0.0120372
840	0.009894319
841	0.013429042
842	0.008817478
843	0.004093509
844	0.007249456
845	0.003024973
846	0.002372735
847	0.000770807
848	0.002904151
849	0.002992184
850	0.002515427
851	0.00496704
852	0.003946869
853	0.001655593
854	0.003840597
855	0.001141173
856	0.002350987
857	0.000752302
858	0.001440187
859	0.000781381
860	0.000044814
861	0.000369284
862	0
863	0.000057996
864	0.000108094
865	0
866	0
867	0
868	1.05E-05
869	0
870	0
871	8.44E-05
872	0
873	0
874	0
875	0.000142377
876	0.000361365
877	0.000152926
878	0.000670369
879	0.000569969
880	0.00041416
881	0.001805696
882	0.001937369
883	0.001392789
884	0.001385392
885	0.001347745
886	0.005606188
887	0.00262542
888	0.005845754
889	0.000850127
890	0.005843819
891	0.003745661
892	0.008885079
893	0.02120367
894	0.03807481
895	0.061568591
896	0.106147856
897	0.178660145
898	0.133233583
899	0.41741865
900	0.111005014
901	0.216055371
902	0.148915348
903	0.156277445
904	0.040745087
905	0.057056008
906	0.081720073
907	0.197427665
908	0.175197905
909	0.121227692
910	0.188979297
911	0.15769259
912	0.13541206
913	0.189925626
914	0.192809751
915	0.134934141
916	0.24239196
917	0.097041499
918	0.217768504
919	0.096497773
920	0.09342439
921	0.052377849
922	0.107141743
923	0.055187317
924	0.092023538
925	0.106122817
926	0.090266089
927	0.050868991
928	0.201798908
929	0.237217221
930	0.447349829
931	0.594542488
932	0.88744107
933	1.013224354
934	1.393682368
935	1.16239372
936	1.561468939
937	1.410904407
938	1.191076238
939	0.615566529
940	0.404589241
941	0.575825982
942	0.529550526
943	1.034794327
944	1.100494484
945	0.598785306
946	1.31978491
947	0.547977457
948	0.978001212
949	0.28209739
950	1.48501252
951	0.31178944
952	0.914319527
953	0.637450189
954	0.476326743
955	0.604524146
956	0.700099291
957	0.810215178
958	0.500293406
959	0.611710555
960	0.426709442
961	0.386764457
962	0.426902255
963	0.316955221
964	0.400446715
965	0.343837152
966	0.239212375
967	0.246589115
968	0.102310481
969	0.068141487
970	0.116758582
971	0.045478468
972	0.073338063
973	0.13234153
974	0.154722203
975	0.150200735
976	0.16587048
977	0.102119563
978	0.12432814
979	0.095806352
980	0.135568539
981	0.039891957
982	0.059336138
983	0.076599059
984	0.02039559
985	0.056946867
986	0.010517842
987	0.01772452
988	0.018747053
989	0.004210631
990	0.016691339
991	0.004940941
992	0.003777731
993	0.0125292
994	0.002629184
995	0.001265626
996	0.003054554
997	0.002178686
998	0.002548566
999	0.002295835
1000	0.004841994
1001	0.002021143
1002	0.012260942
1003	0.00274622
1004	0.005324962
1005	0.001491066
1006	0.003571929
1007	0.002291798
1008	0.00449116
1009	0.006411515
1010	0.007639636
1011	0.001999193
1012	0.004145523
1013	0.001374247
1014	0.001337787
1015	0.001717779
1016	0.001944502
1017	0.002244578
1018	0.000932116
1019	0.004993342
