Wvl_nm	Ref_228K
487	7.49E-22
488	7.59E-22
489	7.85E-22
490	8.19E-22
491	8.51E-22
492	8.68E-22
493	8.76E-22
494	8.82E-22
495	8.95E-22
496	9.25E-22
497	9.78E-22
498	1.05E-21
499	1.14E-21
500	1.23E-21
501	1.33E-21
502	1.44E-21
503	1.54E-21
504	1.61E-21
505	1.66E-21
506	1.67E-21
507	1.66E-21
508	1.62E-21
509	1.59E-21
510	1.56E-21
511	1.56E-21
512	1.57E-21
513	1.60E-21
514	1.64E-21
515	1.68E-21
516	1.72E-21
517	1.75E-21
518	1.78E-21
519	1.81E-21
520	1.85E-21
521	1.90E-21
522	1.97E-21
523	2.02E-21
524	2.11E-21
525	2.21E-21
526	2.30E-21
527	2.41E-21
528	2.51E-21
529	2.60E-21
530	2.68E-21
531	2.76E-21
532	2.81E-21
533	2.85E-21
534	2.86E-21
535	2.86E-21
536	2.85E-21
537	2.85E-21
538	2.86E-21
539	2.89E-21
540	2.93E-21
541	2.99E-21
542	3.05E-21
543	3.12E-21
544	3.17E-21
545	3.21E-21
546	3.25E-21
547	3.29E-21
548	3.32E-21
549	3.35E-21
550	3.38E-21
551	3.41E-21
552	3.44E-21
553	3.48E-21
554	3.52E-21
555	3.58E-21
556	3.63E-21
557	3.70E-21
558	3.79E-21
559	3.89E-21
560	3.99E-21
561	4.09E-21
562	4.19E-21
563	4.28E-21
564	4.35E-21
565	4.42E-21
566	4.48E-21
567	4.54E-21
568	4.60E-21
569	4.66E-21
570	4.71E-21
571	4.77E-21
572	4.82E-21
573	4.85E-21
574	4.86E-21
575	4.86E-21
576	4.83E-21
577	4.79E-21
578	4.75E-21
579	4.71E-21
580	4.66E-21
581	4.61E-21
582	4.57E-21
583	4.53E-21
584	4.50E-21
585	4.48E-21
586	4.47E-21
587	4.46E-21
588	4.46E-21
589	4.47E-21
590	4.49E-21
591	4.53E-21
592	4.58E-21
593	4.65E-21
594	4.74E-21
595	4.82E-21
596	4.91E-21
597	4.99E-21
598	5.09E-21
599	5.17E-21
600	5.23E-21
601	5.27E-21
602	5.28E-21
603	5.28E-21
604	5.25E-21
605	5.20E-21
606	5.14E-21
607	5.06E-21
608	4.97E-21
609	4.88E-21
610	4.78E-21
611	4.69E-21
612	4.60E-21
613	4.51E-21
614	4.42E-21
615	4.34E-21
616	4.26E-21
617	4.19E-21
618	4.13E-21
619	4.06E-21
620	4.01E-21
621	3.96E-21
622	3.92E-21
623	3.87E-21
624	3.83E-21
625	3.78E-21
626	3.73E-21
627	3.68E-21
628	3.63E-21
629	3.58E-21
630	3.52E-21
631	3.47E-21
632	3.42E-21
633	3.36E-21
634	3.31E-21
635	3.25E-21
636	3.18E-21
637	3.12E-21
638	3.06E-21
639	3.00E-21
640	2.93E-21
641	2.87E-21
642	2.82E-21
643	2.76E-21
644	2.71E-21
645	2.66E-21
646	2.61E-21
647	2.57E-21
648	2.52E-21
649	2.48E-21
650	2.44E-21
651	2.40E-21
652	2.36E-21
653	2.32E-21
654	2.28E-21
655	2.24E-21
656	2.20E-21
657	2.16E-21
658	2.12E-21
659	2.09E-21
660	2.05E-21
661	2.01E-21
662	1.98E-21
663	1.94E-21
664	1.90E-21
665	1.86E-21
666	1.82E-21
667	1.77E-21
668	1.73E-21
669	1.69E-21
670	1.66E-21
671	1.61E-21
672	1.58E-21
673	1.54E-21
674	1.50E-21
675	1.47E-21
676	1.44E-21
677	1.41E-21
678	1.38E-21
679	1.35E-21
680	1.32E-21
681	1.30E-21
682	1.28E-21
683	1.26E-21
684	1.24E-21
685	1.22E-21
686	1.20E-21
687	1.18E-21
688	1.15E-21
689	1.12E-21
690	1.09E-21
691	1.06E-21
692	1.04E-21
693	1.01E-21
694	9.88E-22
695	9.62E-22
696	9.38E-22
697	9.14E-22
698	8.91E-22
699	8.68E-22
700	8.48E-22
701	8.29E-22
702	8.12E-22
703	7.96E-22
704	7.81E-22
705	7.67E-22
706	7.56E-22
707	7.43E-22
708	7.32E-22
709	7.21E-22
710	7.11E-22
711	7.02E-22
712	6.94E-22
713	6.88E-22
714	6.82E-22
715	6.76E-22
716	6.67E-22
717	6.55E-22
718	6.39E-22
719	6.21E-22
720	6.01E-22
721	5.83E-22
722	5.65E-22
723	5.49E-22
724	5.35E-22
725	5.22E-22
726	5.09E-22
727	4.96E-22
728	4.80E-22
729	4.68E-22
730	4.57E-22
731	4.47E-22
732	4.37E-22
733	4.29E-22
734	4.24E-22
735	4.19E-22
736	4.15E-22
737	4.11E-22
738	4.08E-22
739	4.06E-22
740	4.04E-22
741	4.05E-22
742	4.06E-22
743	4.09E-22
744	4.12E-22
745	4.15E-22
746	4.16E-22
747	4.15E-22
748	4.10E-22
749	4.01E-22
750	3.86E-22
751	3.69E-22
752	3.50E-22
753	3.32E-22
754	3.15E-22
755	3.02E-22
756	2.92E-22
757	2.83E-22
758	2.76E-22
759	2.70E-22
760	2.65E-22
761	2.62E-22
762	2.62E-22
763	2.56E-22
764	2.53E-22
765	2.52E-22
766	2.48E-22
767	2.47E-22
768	2.48E-22
769	2.50E-22
770	2.53E-22
771	2.57E-22
772	2.63E-22
773	2.72E-22
774	2.83E-22
775	2.97E-22
776	3.09E-22
777	3.21E-22
778	3.30E-22
779	3.33E-22
780	3.30E-22
781	3.23E-22
782	3.07E-22
783	2.89E-22
784	2.74E-22
785	2.57E-22
786	2.41E-22
787	2.30E-22
788	2.19E-22
789	2.10E-22
790	2.02E-22
791	1.93E-22
792	1.86E-22
793	1.78E-22
794	1.71E-22
795	1.66E-22
796	1.61E-22
797	1.57E-22
798	1.55E-22
799	1.52E-22
800	1.50E-22
801	1.48E-22
802	1.47E-22
803	1.46E-22
804	1.46E-22
805	1.49E-22
806	1.53E-22
807	1.59E-22
808	1.68E-22
809	1.77E-22
810	1.86E-22
811	1.96E-22
812	2.06E-22
813	2.15E-22
814	2.24E-22
815	2.29E-22
816	2.33E-22
817	2.34E-22
818	2.29E-22
819	2.22E-22
820	2.10E-22
821	1.97E-22
822	1.82E-22
823	1.66E-22
824	1.51E-22
825	1.38E-22
826	1.26E-22
827	1.15E-22
828	1.06E-22
829	9.84E-23
830	9.11E-23
831	8.57E-23
832	8.15E-23
833	7.86E-23
834	7.59E-23
835	7.46E-23
836	7.26E-23
837	7.25E-23
838	7.20E-23
839	7.20E-23
840	7.29E-23
841	7.46E-23
842	7.67E-23
843	7.81E-23
844	8.16E-23
845	8.51E-23
846	8.96E-23
847	9.58E-23
848	1.04E-22
849	1.13E-22
850	1.24E-22
851	1.39E-22
852	1.50E-22
853	1.57E-22
854	1.57E-22
855	1.52E-22
856	1.45E-22
857	1.38E-22
858	1.31E-22
859	1.24E-22
860	1.15E-22
861	1.05E-22
862	9.42E-23
863	8.36E-23
864	7.53E-23
865	6.87E-23
866	6.24E-23
867	5.70E-23
868	5.26E-23
869	4.84E-23
870	4.46E-23
871	4.19E-23
872	3.96E-23
873	3.81E-23
874	3.65E-23
875	3.55E-23
876	3.57E-23
877	3.57E-23
878	3.62E-23
879	3.71E-23
880	3.79E-23
881	3.99E-23
882	4.14E-23
883	4.36E-23
884	4.48E-23
885	4.79E-23
886	5.04E-23
887	5.09E-23
888	5.24E-23
889	5.38E-23
890	5.34E-23
891	5.14E-23
892	4.94E-23
893	5.08E-23
894	5.48E-23
895	6.11E-23
896	6.58E-23
897	6.85E-23
898	6.86E-23
899	6.68E-23
900	6.44E-23
901	6.12E-23
902	5.66E-23
903	5.08E-23
904	4.82E-23
905	4.28E-23
906	3.90E-23
907	3.55E-23
908	3.08E-23
909	2.74E-23
910	2.50E-23
911	2.29E-23
912	2.05E-23
913	1.97E-23
914	1.79E-23
915	1.71E-23
916	1.61E-23
917	1.57E-23
918	1.46E-23
919	1.46E-23
920	1.49E-23
921	1.38E-23
922	1.35E-23
923	1.36E-23
924	1.36E-23
925	1.38E-23
926	1.42E-23
927	1.51E-23
928	1.51E-23
929	1.54E-23
930	1.55E-23
931	1.48E-23
932	1.54E-23
933	1.39E-23
934	1.39E-23
935	1.48E-23
936	1.70E-23
937	2.01E-23
938	2.36E-23
939	2.76E-23
940	3.19E-23
941	3.65E-23
942	4.14E-23
943	4.51E-23
944	4.69E-23
945	4.66E-23
946	4.28E-23
947	3.89E-23
948	3.34E-23
949	2.72E-23
950	2.25E-23
951	1.92E-23
952	1.79E-23
953	1.53E-23
954	1.30E-23
955	1.34E-23
956	1.29E-23
957	1.29E-23
958	1.09E-23
959	9.97E-24
960	8.97E-24
961	7.70E-24
962	7.07E-24
963	7.08E-24
964	7.08E-24
965	6.66E-24
966	6.12E-24
967	5.52E-24
968	4.64E-24
969	3.64E-24
970	2.71E-24
971	2.47E-24
972	2.12E-24
973	2.01E-24
974	1.77E-24
975	4.92E-25
976	1.12E-24
977	1.11E-24
978	1.54E-24
979	1.50E-24
980	1.74E-24
981	2.01E-24
982	1.98E-24
983	2.55E-24
984	2.70E-24
985	4.36E-24
986	5.06E-24
987	7.85E-24
988	1.05E-23
989	1.26E-23
990	1.97E-23
991	4.12E-23
992	3.39E-23
993	2.71E-23
994	2.63E-23
995	2.28E-23
996	1.75E-23
997	1.17E-23
998	9.54E-24
999	7.98E-24
1000	5.21E-24
1001	7.18E-24
1002	6.06E-24
1003	5.56E-24
1004	5.12E-24
1005	4.25E-24
1006	4.35E-24
1007	3.75E-24
1008	3.37E-24
1009	3.43E-24
1010	2.98E-24
1011	2.72E-24
1012	2.76E-24
1013	2.55E-24
1014	2.35E-24
1015	2.24E-24
1016	2.24E-24
1017	2.08E-24
1018	1.92E-24
1019	1.89E-24
1020	1.83E-24
1021	1.65E-24
1022	1.51E-24
1023	1.46E-24
1024	1.44E-24
1025	1.38E-24
1026	1.33E-24
1027	1.34E-24
1028	1.40E-24
1029	1.41E-24
1030	1.42E-24
1031	1.42E-24
1032	1.45E-24
1033	1.49E-24
1034	1.58E-24
1035	1.68E-24
1036	1.77E-24
1037	1.88E-24
1038	1.95E-24
1039	2.08E-24
1040	2.28E-24
1041	2.50E-24
1042	2.75E-24
1043	3.12E-24
1044	3.78E-24
1045	5.35E-24
1046	6.99E-24
1047	5.81E-24
1048	5.13E-24
1049	5.17E-24
1050	4.97E-24
1051	4.38E-24
1052	3.57E-24
1053	3.13E-24
1054	2.73E-24
1055	2.61E-24
1056	2.26E-24
1057	2.25E-24
1058	1.98E-24
1059	1.91E-24
1060	1.85E-24
1061	1.72E-24
1062	1.83E-24
1063	1.87E-24
1064	1.98E-24
1065	2.31E-24
1066	2.25E-24
1067	1.92E-24
1068	1.80E-24
1069	1.84E-24
1070	1.69E-24
1071	1.43E-24
1072	1.26E-24
1073	1.12E-24
1074	1.06E-24
1075	1.06E-24
1076	9.55E-25
1077	9.72E-25
1078	8.71E-25
1079	8.47E-25
1080	7.63E-25
1081	6.88E-25
1082	6.94E-25
1083	7.04E-25
1084	7.02E-25
1085	6.96E-25
1086	7.82E-25
1087	7.44E-25
1088	7.22E-25
1089	6.41E-25
1090	4.75E-25
1091	4.26E-33
